Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Madrid, Almagro",2060,1,1,-3.693492000000001,40.43671550000001
"Madrid, Ciudad Jardín",1970,2,1,-3.6763012,40.4447791
"Madrid, Argüelles",2020,1,1,-3.714145499999999,40.42730359999999
"Paris, Olympiades",3200,2,1,2.371094100000001,48.82970780000001
"Paris, Denfert-Rochereau",3900,2,2,2.3242104,48.82692460000001
"Paris, Denfert-Rochereau",3500,1,1,2.340254,48.8390304
"Paris, Montparnasse",2400,1,1,2.3208829,48.8431153
"Paris, Commerce",2400,1,1,2.2943259,48.8454534
"Paris, Montparnasse",4090,2,2,2.3221108,48.8440794
"Paris, Montparnasse",2500,1,1,2.3253322,48.8436145
"Paris, La Motte-Picquet Grenelle",2690,1,1,2.294789299999999,48.8503101
"Paris, La Motte-Picquet Grenelle",2780,1,2,2.2975942,48.8494411
"Paris, La Motte-Picquet Grenelle",3090,1,1,2.297874,48.8470345
"Paris, La Motte-Picquet Grenelle",3400,2,1,2.3099628,48.8459853
"Paris, Auteuil",2870,1,1,2.2578723,48.8436022
"Berlin, Mitte",1400,0,1,13.3747942,52.5368337
"Berlin, Mitte",2170,1,1,13.3324929,52.5251173
"Barcelona, El Camp d'en Grassot i Gràcia Nova",2700,2,2,2.1516045,41.3997478
"Istanbul, Kosuyolu",2818,3,2,29.041891,41.014667
"Istanbul, Kosuyolu",2951,3,1,29.041891,41.014667
"Istanbul, Kozyatagi",1736,2,1,29.095853,40.9622629
"London, Canary Wharf",5306,2,2,-0.0192002,51.4995533
"Istanbul, Kozyatagi",1323,2,2,29.09863,40.972516
"Lisbon, Santo António",3640,3,2,-9.1485028,38.7197586
"Lisbon, Chiado",3410,2,2,-9.1430446,38.7111496
"London, Camden Town",4911,3,2,-0.1437321,51.5388452
"London, Canary Wharf",5840,3,2,-0.0192002,51.4995533
"London, Old Street",3971,2,2,-0.08949499999999999,51.528294
"Basel, Vorstädte",1957,1,1,7.5880892,47.5519754
"Lisbon, Chiado",5460,3,2,-9.141692599999999,38.70804260000001
"London, Highgate",3948,2,2,-0.1420577,51.573621
"Barcelona, El Camp d'en Grassot i Gràcia Nova",3650,3,2,2.1516045,41.3997478
"Barcelona, El Putxet i el Farró",1750,1,1,2.1463304,41.4090736
